Bankname,Tablename,Exposureclass,OriginalexposureOBS,OriginalexposureOffBS,AverageCCF,EAD,AveragePD,Obligornumber,AverageLGD,Averagematurity,RWA,RWA%,EL,Provisions
StandardChartered,CR6,CGCB,1.0642531637044146,-0.2986108541428718,-1.3198883140720736,0.9230702360357114,-0.8565949405648187,-0.3934326400471398,-0.23841660990310734,-1.289742013570712,0.16299814842963176,-1.0495835882468136,-0.4098894381160862,0.5625262884957626
StandardChartered,CR6,Institutions,0.013899847908309367,0.005104498675382715,-0.0929973764329393,0.006108350592084091,-0.8320656409278041,-0.3932734003555761,-0.2514668280248849,-2.126331427778741,-0.1420627094335612,-0.8140210946771541,-0.5429955061168339,0.6099727039208599
StandardChartered,CR6,CorporateOther,0.39280513351208485,3.784763340937103,-0.9001624669850015,0.9691371856499621,-0.5131847456466148,-0.3911743316940544,-0.2416791644335517,-1.5793306569504142,1.3860035308976164,-0.22511486075300519,3.296497053327413,-3.689284745404895
StandardChartered,CR6,CorporateSL,-0.4364956656887499,-0.08307472722650806,-0.9647356742291663,-0.49489772501411633,0.014195196549198477,-0.3933602583691563,-0.261254491616218,0.15820120332780008,-0.44203753554922826,-0.4606773543226647,-0.1615162596817014,-0.0007085784860379351
StandardChartered,CR6,CorporateSME,-0.5580523070638385,-0.3646384923119342,-0.7710160524966714,-0.6004149317277951,1.4512033336176353,-0.39286806295886845,-0.2536418643785145,-1.5793306569504142,-0.5310262499662047,0.1674892951964273,-0.3453947453734559,0.34366056572837816
StandardChartered,CR6,RESME,-0.5811038867307438,-0.3956124211697388,0.10072224529955578,-0.6256602920816339,-0.3005974821258219,-0.3931431133352058,-0.2786547824452547,0.36734855687980716,-0.576059524445954,-1.36366691300636,-0.626701383931737,0.629869587808804
StandardChartered,CR6,REOther,0.11062548943167891,-0.3724003850879984,1.6181926155374324,0.027835226342079147,-0.8116245578969586,-0.3510314530844013,-0.26886711885392156,0.36734855687980716,-0.40993827557974355,-1.2851460818164733,-0.5375065960961845,0.5717094656748137
StandardChartered,CR6,QRRE,-0.5396615950401101,-0.007591424612980381,-0.18985718729918666,-0.47944252473834664,-0.521361178858953,0.0008158835934271849,-0.19382836465370076,0.36734855687980716,-0.41135293341680373,-0.34289610753783506,-0.29462232768244906,0.4385533965785728
StandardChartered,CR6,OtherRetailSME,-0.5632490228308513,-0.36496251819632397,-1.481321332182486,-0.610307753160353,1.167072279488883,-0.3898280324835611,-0.23189150084221857,0.36734855687980716,-0.5368869752911684,0.7563955291205761,-0.4785008133742035,0.5395683455481348
StandardChartered,CR6,OtherRetailNonSME,-0.502617302101715,-0.31563694152262556,-0.028424169188774273,-0.5284119908295082,0.022371629761536616,-0.3092093195455308,-0.2057910645986635,0.36734855687980716,-0.2858862562013468,1.5808642566143847,-0.16563294219718847,0.36508797914616403
LloydsBankingGroup,CR6,CGCB,-0.47817049524444444,-0.39081094670105393,0.8081217306593829,-0.5333210701441549,-0.9424474892943696,-0.39345782887107805,-0.23732909172629252,-3.172068195538777,-0.5716471392875043,-1.502648784212459,-0.626701383931737,0.6329306468684877
LloydsBankingGroup,CR6,Institutions,-0.4906668779059773,-0.35186892677711884,-0.061356504883298364,-0.524445529406077,-0.8770360235956642,-0.3933053930572448,-0.25082519230056416,-1.4023598193294853,-0.5174859535257714,-0.9431878619845175,-0.6239569289214123,0.6314001173386459
LloydsBankingGroup,CR6,CorporateOther,-0.2216508990564093,0.23925738549486822,0.007091094795516491,-0.10079011798198953,-0.6337871355286031,-0.3898920178868986,-0.24095052725508578,-0.11529918208636314,0.35401063876221067,0.3571171025200033,-0.09290488442358406,0.05439048458826864
LloydsBankingGroup,CR6,CorporateSME,-0.5172469669166325,-0.35994011698828243,-0.6651159926162409,-0.5628968730873397,0.5293104889265042,-0.38714209317694914,-0.2423860512484813,1.0108788755013678,-0.417819940671936,1.0590933333575887,-0.33716138034248183,0.43396180798904727
LloydsBankingGroup,CR6,RESME,-0.5560403490139638,-0.3915031838177048,1.5306959197215888,-0.6000882819635125,0.26562051782859775,-0.38994485651182653,-0.26740984449698973,0.36734855687980716,-0.55359341070026,-0.6876025564614369,-0.5759289662407302,0.49059140059319567
LloydsBankingGroup,CR6,REOther,2.7148777023003,-0.1300584804630258,1.6808286265642727,2.718990640061291,-0.5499786951021366,-0.0590304458701843,-0.27480496809933036,0.36734855687980716,1.5038916839859653,-0.8839046344361532,0.623397873271161,-0.883824117204785
LloydsBankingGroup,CR6,QRRE,-0.46486528522617804,0.25229206311691155,0.5362685281614485,-0.24512264954284585,-0.4845672294034311,4.437584886460126,-0.21480659028445814,0.36734855687980716,-0.12417739249358599,-0.27733121349427986,0.39011919739356204,-0.42007366966270465
LloydsBankingGroup,CR6,OtherRetailSME,-0.5522691914631938,-0.38746758871212306,1.3324561734820024,-0.6158141349011164,3.5382379110669575,-0.3529501466043881,-0.21423020565074632,0.36734855687980716,-0.5423435126626862,1.3013300975783886,-0.5402510511065092,0.5594652294360789
LloydsBankingGroup,CR6,OtherRetailNonSME,-0.39259656090203826,-0.3953178521839299,-0.6418696380083415,-0.45112665660025175,-0.18203920054691813,-0.15137470111483084,-0.22736742522666903,0.36734855687980716,-0.11659886836647784,1.2557880154882541,-0.05036583176355131,-0.12621199993306959
HSBC,CR6,CGCB,4.0695118696995545,-0.34484345646557685,-0.6321836569217167,3.6717160082686555,-0.9281387311727778,-0.39339673873486,-0.2391778726268777,-0.27618176174175346,1.0198766097346585,-1.1673648350316435,-0.49085086092066466,0.6329306468684877
